"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Apr 4, 2018 11:00 AM",1,0,0,0,0,3,13.5,13.5,-1,7,24,1,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 4, 2018 12:00 PM",6,5,0.333333333333333,9.33333333333333,9,3,13.5,81,-1,7,24,1,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05,3
"Apr 5, 2018  1:00 PM",7,6,0.333333333333333,6.66666666666667,6,4,11,77,-1,6,23,1,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,3
"Apr 5, 2018  4:00 PM",0,1,1,0,15,4,11,0,-1,6,23,1,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 6, 2018 10:00 AM",1,1,0,2.5,4.5,5,9,9,-1,5,22,1,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,2
"Apr 6, 2018  3:00 PM",6,4,2,3,14,5,9,54,-1,5,22,1,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 6, 2018  4:00 PM",1,3,1,0,4,5,9,9,-1,5,22,1,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 8, 2018 12:00 PM",1,0,1,0,0,0,100,100,-1,3,20,1,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 9, 2018  2:00 PM",8,8,1.5,3.5,11.5,1,7.71428571428571,61.7142857142857,-1,2,19,1,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,2
"Apr 9, 2018  4:00 PM",5,4,0.25,2.5,6.5,1,7.71428571428571,38.5714285714285,-1,2,19,1,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05,4
