"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","index"
"Oct 1, 2018  2:00 PM",0,0,0,0,0,1,15.5,0,-1,0,32,2,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,182
"Oct 1, 2018  3:00 PM",0,0,0,0,0,1,15.5,0,-1,0,32,2,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,183
"Oct 1, 2018  4:00 PM",0,0,0,0,0,1,15.5,0,-1,0,32,2,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,184
"Oct 1, 2018  5:00 PM",0,0,0,0,0,1,15.5,0,-1,0,32,2,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,185
"Oct 1, 2018  6:00 PM",2,2,2,2,10,1,15.5,31,-1,0,32,2,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,186
"Oct 1, 2018  7:00 PM",1,1,1,0,21,1,15.5,15.5,-1,0,32,2,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,187
"Oct 1, 2018  8:00 PM",0,0,0,0,0,1,15.5,0,-1,0,32,2,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,188
"Oct 1, 2018  9:00 PM",0,0,0,0,0,1,15.5,0,-1,0,32,2,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,189
"Oct 2, 2018  9:00 AM",0,0,0,0,0,2,15,0,1,6,31,2,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,201
"Oct 2, 2018 10:00 AM",0,0,0,0,0,2,15,0,1,6,31,2,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,202
"Oct 2, 2018 11:00 AM",0,0,0,0,0,2,15,0,1,6,31,2,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,203
"Oct 2, 2018 12:00 PM",0,0,0,0,0,2,15,0,1,6,31,2,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,204
"Oct 2, 2018  1:00 PM",0,0,0,0,0,2,15,0,1,6,31,2,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,220,4.5,16.35,0.29,0.14,0.05,205
