,sign_ups,serves,servers,average_wait_time,average_serve_time,index,day,avgDayServeTime,loadInflux,daysAfterPrevAssnDue,daysUntilNextAssnDue,daysTilExam,weekNum,hourOfDay,monday,tuesday,wednesday,thursday,friday,saturday,sunday,morning,noon,afternoon,evening,L10daysAfterPrevAssnDue,L5daysAfterPrevAssnDue,L3daysAfterPrevAssnDue,L1daysAfterPrevAssnDue,L10daysUntilNextAssnDue,L5daysUntilNextAssnDue,L3daysUntilNextAssnDue,L1daysUntilNextAssnDue,L10daysTilExam,L5daysTilExam,L3daysTilExam,L1daysTilExam,NumStudents,InstructorRating,AvgHrsSpent,ProportionFrosh,ProportionGrads,ProportionPhDs
4/9/18 9:00,0,0,0,0,0,9,1,7.714285714,0,-1,2,19,2,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 10:00,0,0,0,0,0,10,1,7.714285714,0,-1,2,19,2,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 11:00,0,0,0,0,0,11,1,7.714285714,0,-1,2,19,2,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 12:00,0,0,0,0,0,12,1,7.714285714,0,-1,2,19,2,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 13:00,0,0,0,0,0,13,1,7.714285714,0,-1,2,19,2,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 14:00,6,6,3,2,7,14,1,7.714285714,46.28571429,-1,2,19,2,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 15:00,2,2,2,5,16,15,1,7.714285714,15.42857143,-1,2,19,2,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 16:00,1,1,1,6,10,16,1,7.714285714,7.714285714,-1,2,19,2,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 17:00,1,1,1,2,7,17,1,7.714285714,7.714285714,-1,2,19,2,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 18:00,1,1,1,0,4,18,1,7.714285714,7.714285714,-1,2,19,2,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 19:00,2,1,2,2,5,19,1,7.714285714,15.42857143,-1,2,19,2,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 20:00,6,6,2,1,5,20,1,7.714285714,46.28571429,-1,2,19,2,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/9/18 21:00,0,1,0,0,0,21,1,7.714285714,0,-1,2,19,2,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/10/18 9:00,0,0,0,0,0,33,2,8,0,-1,1,18,2,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/10/18 10:00,0,0,0,0,0,34,2,8,0,-1,1,18,2,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/10/18 11:00,0,0,0,0,0,35,2,8,0,-1,1,18,2,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/10/18 12:00,0,0,0,0,0,36,2,8,0,-1,1,18,2,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/10/18 13:00,0,0,0,0,0,37,2,8,0,-1,1,18,2,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/10/18 14:00,0,0,0,0,0,38,2,8,0,-1,1,18,2,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/10/18 15:00,1,0,1,2,9,39,2,8,8,-1,1,18,2,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/10/18 16:00,3,4,3,0,6,40,2,8,24,-1,1,18,2,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/10/18 17:00,2,2,2,1,9,41,2,8,16,-1,1,18,2,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/10/18 18:00,0,0,0,0,0,42,2,8,0,-1,1,18,2,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
4/10/18 19:00,0,0,0,0,0,43,2,8,0,-1,1,18,2,19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05
